"reliability","StandardError","source"
0.711483795887128,0.0417680169434536,"Aczel_no cheat"
0.75310643912706,0.0349132457639478,"Aczel_cheat"
0.69067602836178,0.0437511151650749,"Birt_no cheat"
0.629359044924445,0.0530330557676991,"Birt_cheat"
0.801223112967311,0.027949515254464,"Evans_cheat"
0.718738044590738,0.0379814402732706,"Evans_no cheat"
0.769312022081915,0.0334109762194379,"Ferreira-Santos_cheat"
0.69401696898241,0.043805036598992,"Ferreira-Santos_no cheat"
0.792408209604471,0.0290667148003698,"Gonzalez-Iraizoz_cheat"
0.841188967168085,0.0234934231284606,"Gonzalez-Iraizoz_no cheat"
0.721366447465039,0.0369075173595934,"Holzmeister_cheat"
0.673561951037678,0.043550481183555,"Holzmeister_no cheat"
0.734273053760158,0.0324525032297898,"klein Selle & Rozmann_no cheat"
0.766783422239008,0.0291695532785825,"klein Selle & Rozmann_cheat"
0.673878168484452,0.0458502849987217,"Koppel_no cheat"
0.73732447702685,0.0351243103977989,"Koppel_cheat"
0.739430976069313,0.0361901411406981,"Laine_cheat"
0.732768295433863,0.0378933859937799,"Laine_no cheat"
0.65574394894794,0.0521391971262123,"Loschelder_no cheat"
0.696199423361566,0.0415903959650385,"Loschelder_cheat"
0.616083620224721,0.051887070224703,"McCarthy_no cheat"
0.759468412384557,0.0358563121510344,"McCarthy_cheat"
0.635934497870979,0.0410748028606975,"Meijer_cheat"
0.697735068655635,0.0337806371488364,"Meijer_no cheat"
0.671008872172428,0.041664713839732,"Ozdogru_no cheat"
0.685864495265936,0.0457896815132216,"Ozdogru_cheat"
0.671416932967741,0.043670802941988,"Suchotzki_no cheat"
0.777655526260466,0.0302815274556027,"Suchotzki_cheat"
0.376681656961607,0.0838301661498585,"Sutan_cheat"
0.450159431253865,0.0606839446166694,"Sutan_no cheat"
0.748105014060158,0.0348571805817535,"Vanpaemel_cheat"
0.76091628648125,0.0337318431324628,"Vanpaemel_no cheat"
0.707651507016623,0.0377918850838932,"Verschuere_no cheat"
0.751851586374696,0.0317303932631664,"Verschuere_cheat"
0.734704806990236,0.0311943105077043,"Wick_cheat"
0.723048131460476,0.0311771215649459,"Wick_no cheat"
0.727161703717533,0.0365509102031199,"Wiggins_cheat"
0.741486412483337,0.0351264874036923,"Wiggins_no cheat"
